Country,Code,ContinentCode,Year,Exports of goods and services as percent of GDP,Imports of goods and services as percent of GDP,Government spending as percent of GDP,Government debt as percent of GDP,Tax revenue percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Government effectiveness index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Voice and accountability index (-2.5 weak; 2.5 strong),Political stability index (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Political rights index 7 (weak) - 1 (strong),Civil liberties index 7 (weak) - 1 (strong) ,Quality of roads 1(low) - 7(high),Quality of railroad infrastructure 1(low) - 7(high),Quality of port infrastructure 1(low) - 7(high),Quality of air transport infrastructure 1(low) - 7(high),Human rights and rule of law index 0 (high) - 10 (low),External interventions index 0 (low) - 10 (high),GDP per capita constant 2010 dollars,Economic growth forecast,Income from natural resources percent of GDP,Revenue minus production cost of oil percent of GDP,Revenue minus production cost of natural gas percent of GDP,Innovations index (0-100),Property rights index (0-100),Freedom from corruption index (0-100),Business freedom index (0-100),Trade freedom index (0-100),Economic freedom overall index (0-100),Health spending as percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners,Globalization index (0-100),Economic globalization index (0-100),Military spending percent of GDP,Human Development Index (0 - 1),GDP per capita constant 2010 dollars,Fragile state index 0 (low) - 120 (high),Factionalized elites index 0 (low) - 10 (high),Economic decline index 0 (low) - 10 (high),Uneven economic development index 0 (low) - 10 (high),External interventions index 0 (low) - 10 (high),,,,,,,,,,,,Revenue minus production cost of oil percent of GDP,Gini income inequality index,Poverty percent of population,Percent income earned by the top 10 percent of earners
Niger,NER,AF,2018,11.29,26.22,16.86,36.91,,-0.58,-0.77,-0.58,-0.64,-0.58,-1.35,34,4,4,,,,,6.8,7.8,552.32,7.2,6.06,1.38,0,20.6,37,30,46,62,50,7.33,27.5,40.8,,45.56,37.2,2.45,0.377,552.32,96.2,8.9,7.3,8.2,7.8,,,,,,,,,,,,3.14,27.5,12.2,22.3
Nigeria,NGA,AF,2018,15.5,17.51,5.6,19.09,,-0.88,-1.02,-1.05,-0.8,-0.41,-2.09,27,3,5,2.4,1.7,2.5,3.1,8.6,6.2,2383.42,1.92,11.48,9.03,1.42,22.4,38,14,49,66,59,3.89,,40.1,26.7,55.73,45.04,0.51,0.534,2383.42,99.9,9.6,8,8.3,6.2,,,,,,,,,,,,21.4,,,
North Korea,PRK,AS,2018,,,,,,-1.63,-1.57,-1.57,-2.36,-2.2,-0.34,14,7,7,,,,,9.4,9.9,,,,,,,30,25,5,,6,,33.5,,,,,,,,93.2,8.8,8.9,7.5,9.9,,,,,,,,,,,,0.31,33.5,24.3,28.9
North Macedonia,MKD,EU,2018,60.38,72.84,14.28,40.44,17.57,-0.28,0.09,-0.36,0.53,-0.01,-0.2,37,4,3,3.4,2,2.2,4.3,3.5,6.3,5452.02,2.88,1.52,0,,29.9,65,47,83,88,71,6.58,,,,69.83,70.26,0.94,0.759,5452.02,64.8,7.3,6.1,4.9,6.3,,,,,,,,,,,,,,,
Norway,NOR,EU,2018,38.44,32.63,23.42,39.1,23.58,1.96,1.89,2.09,1.79,1.73,1.15,84,1,1,4.5,4.5,5.1,5.6,0.9,1.1,92119.52,1.12,7.98,5.24,2.69,52.6,86,94,90,88,74,10.05,,,,85.47,77.31,1.63,0.954,92119.52,18.3,1.1,2,1,1.1,,,,,,,,,,,,0,,,
Oman,OMN,AS,2018,58.05,44.24,24.72,47.5,,0.46,0.19,0.25,0.17,-1.03,0.66,52,6,5,6,4.1,5.3,5.4,7.8,2.6,15796.73,0.92,29.2,26.86,2.33,32.8,60,52,76,86,61,4.13,50.8,,,63.73,69.21,9.52,0.834,15796.73,52.6,6.6,4.6,4.5,2.6,,,,,,,,,,,,0,50.8,23,39
Pakistan,PAK,AS,2018,8.97,20.07,11.71,72.1,,-0.67,-0.63,-0.79,-0.64,-0.8,-2.26,33,4,5,3.9,3.8,4.1,4.1,7.7,9.1,1197.91,5.53,1.31,0.48,0.61,24.1,36,27,55,66,54,3.2,,,,53.92,34.77,4.05,0.56,1197.91,96.3,8.9,6.6,6.2,9.1,,,,,,,,,,,,2.29,,,
Palau,PLW,OC,2018,47.61,77.5,33.14,,21.56,0.31,-0.01,-0.55,-0.06,1.15,0.86,,1,1,,,,,,,12684.72,5.82,0,,,,,,,,,10.87,47.6,,,44.35,55.73,,0.814,12684.72,,,,,,,,,,,,,,,,,0,47.6,26.6,36.7
Palestine,PS,AS,2018,15.96,55.44,21.99,14.6,,-0.48,-0.76,-0.2,0.02,-0.9,-1.81,,,,,,,,,,2985.76,,0,0,,,,,,,,,43.4,,,,,,0.69,2985.76,,,,,,,,,,,,,,,,,0.26,43.4,21.8,32.6
Panama,PAN,NA,2018,42.54,46.85,11.68,39.48,9.91,-0.09,-0.02,-0.55,0.36,0.57,0.27,37,2,2,4.3,4.4,5.7,5.8,4,2.4,11755.12,3.6,0.13,0,0,32.4,61,39,74,78,67,7.27,40.1,,37.1,71.07,71.8,0,0.795,11755.12,49.5,2.2,2.9,7.1,2.4,,,,,,,,,,,,0.05,40.1,21.6,34.8
Papua New Guinea,PNG,OC,2018,,,,32.35,13.19,-0.77,-0.68,-0.88,-0.53,0.04,-0.7,28,3,3,,,,,7.3,6.5,2397.66,-0.28,24.52,3.03,6.61,,38,33,61,86,56,2.37,31.8,,,52.05,58.83,0.38,0.543,2397.66,84.8,7.1,6.1,9.1,6.5,,,,,,,,,,,,0.03,31.8,17.3,24.2
Paraguay,PRY,SA,2018,35.92,34.75,11.21,19.68,10.04,-0.52,-0.52,-0.84,-0.08,0.06,-0.07,29,3,3,2.5,1.7,3.4,3.3,5.6,4.5,5379.58,3.36,1.21,0,0,28.7,38,28,62,76,62,6.65,35.5,24.2,35.9,61.86,49.94,0.93,0.724,5379.58,69.8,7.8,5,7.6,4.5,,,,,,,,,,,,0,35.5,19,27.3
Peru,PER,SA,2018,25.38,23.54,13.11,25.76,14.32,-0.53,-0.25,-0.53,0.5,0.23,-0.26,35,2,3,3.2,2.6,3.6,4.2,4,3.2,6453.56,3.96,8.9,0.31,0.26,31.8,57,37,69,87,69,5.24,,20.5,32.1,68.9,61.15,1.17,0.759,6453.56,70.1,6.9,3.5,7.1,3.2,,,,,,,,,,,,0,,,
Philippines,PHL,AS,2018,30.21,41.95,12.04,39.9,14.05,-0.48,0.05,-0.54,-0.06,0.04,-1.08,36,3,3,3.5,2.4,3.6,4.1,7.1,6.9,3190.78,6.34,1.47,0.07,0.17,31.6,45,34,63,81,65,4.4,,,,66.91,57.22,0.86,0.712,3190.78,85.5,8,5.2,5.4,6.9,,,,,,,,,,,,13.82,,,
Poland,POL,EU,2018,55.24,52.18,17.73,48.8,17.4,0.43,0.66,0.64,0.88,0.72,0.5,60,1,2,4.1,4,4.4,4.8,3.7,2.9,16648.77,5.35,0.97,0.05,0.07,41.7,62,51,67,87,69,6.33,,15.4,,79.67,72.84,2.06,0.872,16648.77,41.5,4.2,3.9,2.7,2.9,,,,,,,,,,,,18.39,,,
Portugal,PRT,EU,2018,43.45,42.98,16.98,121.5,22.65,1.14,1.21,0.85,0.89,1.21,1.14,64,1,1,6.1,4.6,5,5.4,1.5,2.6,24085.42,2.85,0.18,0,0,45.7,69,57,83,87,63,9.41,35.9,17.2,,84.88,80.38,1.86,0.85,24085.42,27.3,2.5,4.8,2.2,2.6,,,,,,,,,,,,0.34,35.9,25.3,24.8
Puerto Rico,PRI,NA,2018,59.99,46.01,7.97,,,0.59,-0.16,0.04,0.95,0.49,0.29,,,,,,,,,,27362.43,-4.66,0,0,,,,,,,,,37.7,,,,,,,27362.43,,,,,,,,,,,,,,,,,5.92,37.7,13.3,29.7
Qatar,QAT,AS,2018,55.94,35.9,16.28,52.18,,0.73,0.63,0.73,0.6,-1.19,0.67,62,6,5,5.6,4.7,5.3,5.7,6.2,8.6,63932.66,1.24,21.29,16.59,4.71,36.6,70,72,71,83,73,2.49,,,,75.32,76.54,,0.848,63932.66,48.1,5,1.8,4.6,8.6,,,,,,,,,,,,0,,,
Republic of the Congo,COG,AF,2018,71.83,49.56,14.76,78.56,7.84,-1.1,-1.22,-1.36,-1.33,-1.18,-0.34,19,7,5,,,,,8.5,6.8,2303.98,-6.43,54.92,49.96,1.75,,32,25,31,62,39,2.14,,,,53.67,50.72,2.57,0.609,2303.98,93.1,6.7,7.3,7.8,6.8,,,,,,,,,,,,0,,,
Romania,ROU,EU,2018,41.86,45.27,16.83,34.7,14.49,0.33,-0.25,-0.12,0.43,0.46,0.06,47,2,2,3,3.1,3.9,4.7,3.8,3.3,11540.62,4.48,1.04,0.44,0.37,37.6,61,40,65,87,69,5.56,,23.8,,79.29,71.71,1.82,0.816,11540.62,49.4,5.7,4.6,3.9,3.3,,,,,,,,,,,,0,,,
Russia,RUS,EU,2018,30.52,20.62,17.58,14.5,11.38,-0.82,-0.06,-0.85,-0.55,-1.06,-0.53,28,7,6,3.3,4.9,4.6,4.9,9.2,5.7,11844.44,2.81,15.53,10,3.7,37.9,49,38,77,79,58,5.32,,12.9,29.9,71.94,54.46,3.72,0.824,11844.44,77.2,8.1,4.9,5.9,5.7,,,,,,,,,,,,0,,,
Rwanda,RWA,AF,2018,21.14,34.68,14.74,44.99,14.25,0.12,0.21,0.58,0.09,-1.13,0.12,56,6,6,4.7,3.2,2.9,4.8,6.9,7.2,845.41,8.58,4.02,0,,26.5,70,61,55,71,69,7.54,,,,51.61,51.44,1.25,0.536,845.41,89.3,8,6.3,8,7.2,,,,,,,,,,,,,,,
Saint Lucia,LCA,NA,2018,,,,64.28,,0.61,0.2,0.54,0.29,0.87,1.01,55,1,1,,,,,,,9237.37,2.64,0.01,0,,,68,51,77,74,68,4.4,,,,56.35,59.9,,0.745,9237.37,,,,,,,,,,,,,,,,,0,,,
Saint Vincent and the Grenadines,VCT,NA,2018,,,,75.46,,0.43,0.2,0.77,0.26,0.88,0.85,58,1,1,,,,,,,6852.6,2.16,0.02,0,,,37,52,80,76,68,4.47,,,,49.86,50.79,,0.728,6852.6,,,,,,,,,,,,,,,,,23.27,,,
Samoa,WSM,OC,2018,34.82,51.16,,52.9,,0.82,0.59,0.64,-0.11,0.76,1.18,,2,2,,,,,4,9.5,3753.95,-2.06,0.27,0,,,53,40,77,70,62,5.21,,,,52.24,53.75,,0.707,3753.95,65.5,5.1,6.6,4.6,9.5,,,,,,,,,,,,0,,,
San Marino,SMR,EU,2018,166.6,142.89,19.41,78.54,17.96,,,,,1.15,0.86,,1,1,,,,,,,50023.79,1.53,0,,,,,,,,,7.14,28.5,,,56.97,,,,50023.79,,,,,,,,,,,,,,,,,0.13,28.5,25.9,29.2
Sao Tome and Principe,STP,AF,2018,,,,83.08,,-0.69,-0.64,0.18,-0.84,0.16,0.53,46,2,2,,,,,3,8.2,1296.75,3.03,1.9,0,,,38,39,66,72,54,6.27,,,,44.28,44.83,,0.609,1296.75,72.1,6.3,8.5,6.3,8.2,,,,,,,,,,,,0,,,
Saudi Arabia,SAU,AS,2018,40.04,26.65,24.62,18.99,8.93,0.14,0.32,0.36,-0.08,-1.64,-0.55,49,7,7,5,3.9,4.6,5.2,9,4.4,20819.75,2.43,29.55,28.71,0.73,34.3,53,50,74,78,60,6.36,,,,67.73,63.99,9.51,0.857,20819.75,70.2,8.5,4.4,4.7,4.4,,,,,,,,,,,,0,,,
Senegal,SEN,AF,2018,23.01,37.5,13.75,63.53,16.29,-0.21,-0.27,-0.02,-0.11,0.24,-0.09,45,2,2,3.7,2.6,3.6,4.1,5.7,6.4,1547.09,6.21,2.59,0,0.02,26.5,41,43,52,67,56,3.98,,,,61.83,48.93,1.63,0.514,1547.09,79.6,6.9,7.2,7.1,6.4,,,,,,,,,,,,0,,,
Serbia,SRB,EU,2018,50.43,59.06,16.54,54.35,23.6,-0.15,0.11,-0.37,0.11,0,0.02,39,3,2,3.4,2.7,3.2,4.5,4.1,6.3,6898.17,4.5,1.29,0.11,0.03,35.5,46,37,68,87,63,8.54,26.5,,,78.34,72.66,1.62,0.799,6898.17,68.1,8.3,6.4,4.5,6.3,,,,,,,,,,,,0.05,26.5,12.7,20.9
Seychelles,SYC,AF,2018,84.1,98.25,22.87,55,34.12,0.2,0.5,0.7,-0.16,0.21,0.69,66,3,3,4.5,2.9,4.7,4.8,3.5,6.7,14417.06,1.33,0.09,0,,,61,39,63,87,62,5.11,25.4,,,63.76,77.62,1.43,0.801,14417.06,56.8,6,3.8,5.2,6.7,,,,,,,,,,,,0,25.4,13.9,21.1
Sierra Leone,SLE,AF,2018,17.47,39.23,9.24,69.09,,-0.77,-1.14,-0.49,-0.89,-0.16,-0.08,30,3,3,3.6,2.3,3,2.9,5.1,7.6,472.83,3.47,7.88,0,,,34,22,51,69,52,16.06,,56.8,29.4,45.53,39.69,0.75,0.438,472.83,89.1,7.8,8.4,8.6,7.6,,,,,,,,,,,,0,,,
Singapore,SGP,AS,2018,177.68,149.26,10.05,109.75,13.14,1.84,2.23,2.17,2.13,-0.06,1.49,85,4,4,6.4,5.8,6.4,6.7,4.9,1.2,59073.49,3.5,0,0,0,59.8,98,91,91,90,89,4.46,,,,83.49,93.63,3.11,0.935,59073.49,30.4,4,1.7,3.5,1.2,,,,,,,,,,,,0.01,,,
Slovakia,SVK,EU,2018,96.22,94.33,18.67,49.6,18.59,0.53,0.71,0.36,0.81,0.88,0.75,50,1,1,4,4.1,3.3,3.9,2.5,3,20551.11,3.77,0.28,0.03,0.01,42.9,68,38,64,87,65,6.69,,,,82.66,82.52,1.22,0.857,20551.11,42.5,5,4.3,3.2,3,,,,,,,,,,,,0,,,
Slovenia,SVN,EU,2018,84.8,76.31,18.24,70.3,18.53,1.06,1.13,0.87,0.65,0.99,0.91,60,1,1,4.7,3.2,4.7,4.6,1.2,2,26760.48,4.38,0.23,0,0,46.9,77,52,80,87,65,8.3,36.2,12,,81.21,77.48,0.98,0.902,26760.48,30.3,2,3.5,3.1,2,,,,,,,,,,,,0,36.2,22.3,26.2
Solomon Islands,SLB,OC,2018,,,,11,25.87,-0.23,-1.05,0,-0.83,0.53,0.29,44,3,2,,,,,4.9,8.5,1773.69,3.94,22.08,0,,,49,37,69,75,58,4.47,,,,42.48,48.02,,0.557,1773.69,83.1,8.2,7.4,8.7,8.5,,,,,,,,,,,,0,,,
Somalia,SOM,AF,2018,23.71,108.54,10.97,,0,-2.33,-2.19,-1.8,-2.25,-1.84,-2.25,10,7,7,,,,,9.6,9.1,,2.8,,,,,33,18,,,,,,,,30.16,31.17,,,,113.2,10,8.9,9.3,9.1,,,,,,,,,,,,0.98,,,
South Africa,ZAF,AF,2018,29.91,29.56,21.28,56.7,26.51,-0.1,0.34,-0.02,0.13,0.66,-0.22,43,2,2,4.3,3.3,4.5,5.3,4.3,3.3,7433.62,0.79,5.17,0.01,0.03,35.1,68,45,65,72,63,8.25,,,,70.51,55.15,1,0.705,7433.62,72.9,6.6,7.1,7.2,3.3,,,,,,,,,,,,2.8,,,
South Korea,KOR,AS,2018,41.71,37.28,16.05,35.9,15.54,1.24,1.18,0.6,1.1,0.8,0.6,57,2,2,5.7,5.9,5.4,5.8,3.2,5.3,28157.73,2.91,0.02,0,0,56.6,79,50,91,80,74,7.56,,,,78.48,63.01,2.5,0.906,28157.73,35.7,3.9,2,2.7,5.3,,,,,,,,,,,,0,,,
Spain,ESP,EU,2018,35.15,32.43,18.66,97.4,14.22,0.97,1,0.61,0.95,1.07,0.3,58,1,1,5.6,5.4,5.2,5.6,1.5,1.7,32949.08,2.43,0.1,0,0,48.7,73,52,66,87,65,8.98,29.2,20.7,,83.81,77.29,1.26,0.893,32949.08,41.4,7.2,4.9,3.2,1.7,,,,,,,,,,,,0,29.2,16.2,22.9
Sri Lanka,LKA,AS,2018,22.92,30.31,9.12,83.7,11.92,0.03,-0.24,-0.34,-0.17,0.01,-0.14,38,3,4,3.8,3.3,4.1,4.4,8.4,6,3946.19,3.27,0.06,0,0,28.7,47,31,76,75,58,3.76,32.3,,,59.79,44.13,1.91,0.78,3946.19,84.9,8.8,5.5,6.8,6,,,,,,,,,,,,0,32.3,14.7,25.2
Sudan,SDN,AF,2018,7.91,10.01,4.75,185.61,,-1.12,-1.62,-1.43,-1.62,-1.84,-1.81,16,7,7,,,,,9.3,9.2,1812.12,-2.29,22.09,6.38,0,,28,21,52,56,49,4.51,34,,,46.34,46.2,1.78,0.508,1812.12,108.7,9.7,8,7.7,9.2,,,,,,,,,,,,0.03,34,31.3,26.4
Suriname,SUR,SA,2018,,,,81.42,,-0.06,-0.66,-0.21,-0.65,0.32,0.07,43,2,2,,,,,4.6,5.6,8100.37,2.58,29.19,6.92,0,,40,40,48,75,48,7.97,,,,53.62,56.41,,0.724,8100.37,64,5.8,7.2,6.1,5.6,,,,,,,,,,,,0,,,
Swaziland,SWZ,AF,2018,40.44,44.33,23.02,34.27,,-0.25,-0.66,-0.22,-0.62,-1.36,-0.36,38,7,6,4.3,3.1,3.4,3.7,8.8,7.6,4761.97,2.37,2.35,0,,,55,,61,80,,6.54,36,,,45.77,45.42,1.86,0.608,4761.97,87.5,6.8,9.8,8.1,7.6,,,,,,,,,,,,0.57,36,7.2,28.4
Sweden,SWE,EU,2018,45.68,43.45,26.06,38.9,27.91,1.89,1.83,2.14,1.83,1.61,0.95,85,1,1,5.6,4.4,5.5,5.8,0.9,0.9,57911.23,1.95,0.54,0,0,63.1,93,93,89,87,76,10.9,43.1,17.1,,89.44,83.59,1.03,0.937,57911.23,20.8,1.8,1.6,1.6,0.9,,,,,,,,,,,,0,43.1,55.1,31.6
Switzerland,CHE,EU,2018,66.13,53.9,11.81,25.8,9.97,1.93,2.04,2.01,1.8,1.62,1.34,85,1,1,6.4,6.7,4.5,6.3,1.5,0.7,79234.96,3.04,0.01,0,0,68.4,84,83,76,90,82,11.88,37.6,,,90.79,86.41,0.66,0.946,79234.96,19.2,1,2,1.9,0.7,,,,,,,,,,,,0,37.6,,29.7
Syria,SYR,AS,2018,,,,,,-2.05,-1.67,-1.63,-1.74,-1.96,-2.73,13,7,7,,,,,9.9,10,,,26.84,,,,37,23,62,57,,,,,,50.83,43.57,,0.549,,111.4,9.9,8.5,7.8,10,,,,,,,,,,,,2.48,,,
Taiwan,TWN,AS,2018,,,,35.38,,1.11,1.36,1.03,1.38,0.98,0.85,63,1,1,5.5,5.3,5.2,5.5,,,,2.79,,,,,84,71,93,86,77,,32.8,,,,,,,,,,,,,,,,,,,,,,,,1.7,32.8,15.2,25.6
Tajikistan,TJK,AS,2018,,,,47.82,,-1.28,-1.1,-1.42,-1.05,-1.69,-0.74,25,7,6,4.5,3.9,1,4.4,8.3,5.6,1073.02,7.3,6.77,0.12,0.07,26.5,47,38,63,71,58,7.24,42.9,27.4,,50.84,50.08,,0.656,1073.02,79.5,8.4,7,4.5,5.6,,,,,,,,,,,,0.04,42.9,14.3,33.5
Tanzania,TZA,AF,2018,,,,38.7,11.49,-0.56,-0.76,-0.45,-0.62,-0.36,-0.56,36,4,4,3.7,2.9,3.8,3.9,6,6.9,959.35,6.96,4.68,0,0.31,28.1,38,32,50,77,60,3.63,,26.4,,49.73,38.05,1.26,0.528,959.35,79.4,5.7,6.3,7.4,6.9,,,,,,,,,,,,5.1,,,
Thailand,THA,AS,2018,64.87,56.03,16.15,41.76,14.93,0.02,0.35,-0.4,0.1,-1,-0.79,36,6,5,4.4,2.6,4.1,5,8,3.5,6370.02,4.19,2.01,0.76,0.87,38,49,35,77,83,67,3.79,,9.9,28.2,72.46,66.47,1.36,0.765,6370.02,75,9.4,3.4,5,3.5,,,,,,,,,,,,0,,,
Togo,TGO,AF,2018,31.9,43.77,18.43,57.33,16.85,-0.59,-1.06,-0.73,-0.65,-0.74,-0.88,30,4,4,,,,,6.8,5.7,676.99,4.97,11.17,0,0,18.9,33,31,50,67,48,6.17,,,,52.45,50.36,1.95,0.513,676.99,85.2,7.6,6.7,8.2,5.7,,,,,,,,,,,,0,,,
Tonga,TON,OC,2018,21.2,65.66,,,,0.39,0.14,-0.07,-0.35,0.56,0.88,,2,2,,,,,,,4377.68,0.3,0.03,0,,,62,41,76,79,63,5.1,25.5,,,47.57,51.75,,0.717,4377.68,,,,,,,,,,,,,,,,,0.3,25.5,6.4,21.6
Trinidad and Tobago,TTO,NA,2018,,,,60.4,19.94,-0.12,0.19,-0.32,-0.1,0.57,0.25,41,2,2,3.9,3.5,2.5,3.7,3.8,2.8,15161.07,0.07,10.61,4,6.56,27,55,33,68,74,58,6.93,,,,64.34,62,0.72,0.799,15161.07,54.6,5.6,4.5,4.6,2.8,,,,,,,,,,,,13.12,,,
Tunisia,TUN,AF,2018,48.29,61.49,19.95,77.9,,0.04,-0.11,-0.05,-0.51,0.21,-0.86,43,2,3,3.8,3.2,3.5,3.8,6.2,6.1,4408.37,2.72,3.29,2.56,0.27,32.9,49,37,81,82,59,7.29,33.2,,,68.72,57.92,2.11,0.739,4408.37,72.1,7.8,6.6,5,6.1,,,,,,,,,,,,0.24,33.2,,25.4
Turkey,TUR,EU,2018,31.2,31.34,14.69,30.17,17.28,-0.32,0.01,-0.34,0.02,-0.83,-1.31,41,5,6,4.9,3.3,4.5,5.3,7.8,5.4,15190.1,2.96,0.48,0.11,0,37.4,55,42,63,79,65,4.12,40.2,14.4,32.6,70.57,54.7,2.55,0.807,15190.1,82.2,9.1,4.5,5.4,5.4,,,,,,,,,,,,0,40.2,9.7,29.8
Turkmenistan,TKM,AS,2018,22.67,12.5,,31.44,,-1.45,-1.04,-1.36,-1.98,-2.14,0,20,7,7,,,,,8.7,3.8,7647.94,6.2,24.67,7.05,17.62,,30,27,30,80,47,6.61,,,,40.72,38.85,,0.71,7647.94,72.6,7.8,4.8,6.7,3.8,,,,,,,,,,,,0.01,,,
Tuvalu,TUV,OC,2018,,,,17.28,,0.53,-0.69,0.03,-0.57,1.15,1.42,,1,1,,,,,,,3635.92,3.18,0,0,,,,,,,,19.05,,,,,,,,3635.92,,,,,,,,,,,,,,,,,0.55,,,
Uganda,UGA,AF,2018,15.09,21.56,8.64,40.6,11.69,-0.29,-0.61,-1.04,-0.25,-0.67,-0.69,26,6,4,3.5,1.6,2.6,3.3,7.9,7.8,933.84,5.97,7.47,0,,25.3,44,28,45,78,62,6.53,,,,53.49,48.07,1.44,0.528,933.84,95.1,8.6,6,7.3,7.8,,,,,,,,,,,,0,,,
Ukraine,UKR,EU,2018,45.2,53.92,20.77,60.9,20.14,-0.72,-0.42,-0.87,-0.3,-0.01,-1.86,32,3,3,2.7,4.3,3.8,4,6.5,8.3,3106.04,3.41,3.71,0.32,1.05,38.5,41,29,63,81,52,7.72,,1.3,22,74.95,66.01,3.19,0.75,3106.04,72.6,8,6.6,3.9,8.3,,,,,,,,,,,,,,33.1,
United Arab Emirates,ARE,AS,2018,93.05,66.68,11.82,20.91,0.06,0.81,1.43,1.15,0.93,-1.11,0.71,70,7,6,5.9,4.6,5.4,5.9,7.9,2.1,41327.38,1.19,17.38,16.59,0.79,42.6,76,77,80,84,78,4.23,,,,75.51,86.9,,0.866,41327.38,42.8,3.6,2.5,3.1,2.1,,,,,,,,,,,,1.52,,,
United Kingdom,GBR,EU,2018,30.61,32,18.48,84.09,25.59,1.64,1.34,1.83,1.78,1.39,0.04,80,1,1,5.2,4.6,5.4,5.7,1.8,1,43324.05,1.25,0.66,0.52,0.14,60.1,92,79,91,87,78,10,,,,89.39,81.91,1.77,0.92,43324.05,34.3,5,3.6,3.7,1,,,,,,,,,,,,1.92,,,
Uruguay,URY,SA,2018,21,18.99,14.64,60.15,20.09,0.59,0.56,1.26,0.51,1.21,1.04,70,1,1,3.3,1.3,4.8,5.1,3.1,2.5,14617.46,0.48,1.6,0,0,34.2,69,72,74,80,69,9.2,57.1,8.1,29.7,72.89,61.63,2.13,0.808,14617.46,35.4,2.7,3.5,3.8,2.5,,,,,,,,,,,,0,57.1,54.4,44.4
USA,USA,NA,2018,12.29,15.25,14.05,101.65,9.91,1.51,1.58,1.33,1.62,1.05,0.47,71,2,1,5.9,5.7,5.8,5.9,3.3,1.5,54832.98,3,0.71,0.38,0.03,59.8,79,72,83,87,76,16.89,,,,82.28,67.68,3.32,0.92,54832.98,37.7,5.8,2.3,4,1.5,,,,,,,,,,,,0,,,
Uzbekistan,UZB,AS,2018,28.04,38.59,14.06,20.43,14.79,-1.07,-0.55,-1.07,-1.08,-1.62,-0.29,23,7,7,,,,,8.7,4.1,2373.54,5.45,18.95,1.45,10.06,,49,24,67,63,52,5.29,,,,52.4,56.92,3.56,0.71,2373.54,79.1,8.8,6.1,6.7,4.1,,,,,,,,,,,,,,,
Vanuatu,VUT,OC,2018,,,,48.08,17.84,0.34,-0.49,-0.16,-0.46,0.54,0.83,46,2,2,,,,,,,2864.83,2.9,0.54,0,,,68,75,55,75,70,3.37,,,,48.88,64.03,,0.597,2864.83,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,SA,2018,,,,180.79,,-2.32,-1.58,-1.47,-2.36,-1.41,-1.32,18,6,5,2.8,1.5,2.2,2.4,9,5.5,,-19.62,19.37,,,,5,8,35,59,25,3.56,,,,52.25,31.5,,0.726,,86.2,8.5,8.3,6.6,5.5,,,,,,,,,,,,,,,
Vietnam,VNM,AS,2018,105.83,102.47,6.47,58.3,,0,0,-0.49,-0.35,-1.44,0.11,33,7,5,3.2,3.4,3.8,3.8,7.7,5.2,1964.48,7.08,4.32,1.61,0.58,37.9,46,30,63,79,53,5.92,,6.7,27.5,65.55,61.06,,0.693,1964.48,68.4,6.9,4.8,4.7,5.2,,,,,,,,,,,,,,,
Yemen,YEM,AS,2018,,,,74.54,,-1.79,-2.24,-1.64,-1.59,-1.75,-2.99,14,7,6,2.2,1.3,2.2,2.2,9.8,10,632.91,0.75,2.69,2.65,0,15,18,21,53,,,,,,,48,42.48,,0.463,632.91,112.7,10,9.6,8.2,10,,,,,,,,,,,,,,,
Zambia,ZMB,AF,2018,37.96,36.93,12.71,77.33,16.59,-0.35,-0.56,-0.66,-0.48,-0.32,0.09,35,4,4,3.4,2.2,2.6,3.9,7.7,6.9,1678.17,4.04,19.11,0,0,20.7,46,36,70,78,54,4.93,,,,57.79,56.08,1.42,0.591,1678.17,87.2,5.9,7.8,9.3,6.9,,,,,,,,,,,,,,,
Zimbabwe,ZWE,AF,2018,19,31,25.62,33.63,20.66,-1.27,-1.2,-1.23,-1.5,-1.12,-0.71,22,6,5,2.7,1.8,3.1,3.5,8.5,7.6,1305.78,3.5,5.75,0,0,23.1,28,19,37,69,44,4.73,,,,51.78,38.1,1.22,0.563,1305.78,102.3,10,8.6,8.2,7.6,,,,,,,,,,,,,,,
